"Viridis_ICM2.spc - RawData"
"Wavelength nm.","Abs."
250.0,0.96708
251.0,0.96161
252.0,0.96075
253.0,0.95630
254.0,0.95650
255.0,0.96849
256.0,0.97375
257.0,0.97886
258.0,1.00292
259.0,1.00562
260.0,1.01528
261.0,1.03165
262.0,1.04380
263.0,1.06284
264.0,1.07179
265.0,1.09152
266.0,1.10568
267.0,1.13051
268.0,1.14742
269.0,1.16407
270.0,1.18177
271.0,1.19677
272.0,1.19954
273.0,1.21523
274.0,1.22395
275.0,1.22039
276.0,1.21600
277.0,1.21830
278.0,1.21136
279.0,1.20986
280.0,1.19512
281.0,1.18609
282.0,1.17146
283.0,1.14250
284.0,1.12535
285.0,1.09548
286.0,1.05506
287.0,1.01633
288.0,0.97696
289.0,0.94762
290.0,0.93247
291.0,0.90827
292.0,0.87145
293.0,0.79450
294.0,0.74514
295.0,0.68181
296.0,0.64501
297.0,0.60977
298.0,0.57843
299.0,0.56051
300.0,0.53510
301.0,0.50780
302.0,0.48949
303.0,0.48505
304.0,0.46405
305.0,0.45903
306.0,0.44524
307.0,0.44447
308.0,0.43974
309.0,0.44054
310.0,0.43768
311.0,0.43947
312.0,0.43775
313.0,0.43708
314.0,0.44924
315.0,0.44781
316.0,0.44684
317.0,0.45329
318.0,0.44933
319.0,0.45759
320.0,0.46139
321.0,0.46126
322.0,0.47080
323.0,0.46535
324.0,0.46638
325.0,0.46718
326.0,0.46904
327.0,0.46916
328.0,0.47402
329.0,0.47933
330.0,0.47865
331.0,0.47664
332.0,0.47660
333.0,0.48429
334.0,0.49137
335.0,0.49097
336.0,0.49979
337.0,0.50366
338.0,0.51124
339.0,0.51577
340.0,0.52077
341.0,0.51551
342.0,0.52081
343.0,0.51751
344.0,0.51931
345.0,0.51579
346.0,0.52024
347.0,0.52407
348.0,0.52948
349.0,0.53513
350.0,0.53714
351.0,0.54401
352.0,0.55024
353.0,0.55641
354.0,0.56054
355.0,0.56870
356.0,0.57883
357.0,0.58386
358.0,0.58748
359.0,0.59511
360.0,0.59718
361.0,0.60513
362.0,0.60935
363.0,0.61500
364.0,0.61995
365.0,0.63098
366.0,0.63135
367.0,0.63982
368.0,0.64741
369.0,0.65936
370.0,0.66257
371.0,0.67238
372.0,0.68048
373.0,0.69126
374.0,0.69480
375.0,0.70838
376.0,0.71031
377.0,0.71832
378.0,0.72749
379.0,0.73635
380.0,0.74477
381.0,0.75478
382.0,0.76218
383.0,0.77103
384.0,0.78667
385.0,0.79671
386.0,0.80960
387.0,0.82125
388.0,0.83392
389.0,0.84949
390.0,0.86575
391.0,0.87916
392.0,0.89344
393.0,0.90817
394.0,0.92151
395.0,0.93598
396.0,0.94464
397.0,0.95543
398.0,0.96223
399.0,0.96591
400.0,0.96737
401.0,0.96391
402.0,0.95998
403.0,0.95071
404.0,0.94590
405.0,0.93201
406.0,0.92036
407.0,0.90723
408.0,0.89773
409.0,0.88205
410.0,0.87313
411.0,0.85973
412.0,0.85343
413.0,0.84490
414.0,0.83875
415.0,0.83608
416.0,0.83260
417.0,0.82755
418.0,0.82567
419.0,0.82587
420.0,0.81772
421.0,0.81570
422.0,0.80502
423.0,0.79765
424.0,0.78664
425.0,0.77370
426.0,0.75889
427.0,0.74505
428.0,0.72626
429.0,0.70651
430.0,0.68693
431.0,0.66796
432.0,0.64833
433.0,0.62805
434.0,0.60935
435.0,0.59690
436.0,0.58361
437.0,0.57814
438.0,0.57146
439.0,0.57173
440.0,0.57629
441.0,0.58658
442.0,0.60301
443.0,0.62143
444.0,0.64482
445.0,0.66751
446.0,0.69504
447.0,0.71885
448.0,0.73815
449.0,0.75453
450.0,0.76302
451.0,0.76738
452.0,0.76805
453.0,0.76061
454.0,0.74967
455.0,0.73548
456.0,0.71535
457.0,0.69422
458.0,0.67042
459.0,0.64100
460.0,0.61643
461.0,0.58663
462.0,0.55806
463.0,0.52906
464.0,0.50860
465.0,0.48696
466.0,0.47019
467.0,0.45810
468.0,0.44799
469.0,0.44344
470.0,0.44483
471.0,0.45060
472.0,0.46136
473.0,0.47969
474.0,0.50184
475.0,0.52890
476.0,0.56262
477.0,0.59650
478.0,0.63014
479.0,0.66300
480.0,0.69082
481.0,0.70854
482.0,0.71963
483.0,0.71732
484.0,0.70475
485.0,0.68053
486.0,0.65133
487.0,0.61672
488.0,0.57713
489.0,0.53872
490.0,0.49585
491.0,0.45541
492.0,0.41778
493.0,0.38304
494.0,0.35319
495.0,0.32738
496.0,0.30390
497.0,0.28578
498.0,0.26830
499.0,0.25653
500.0,0.24665
501.0,0.23735
502.0,0.22988
503.0,0.22520
504.0,0.22016
505.0,0.21657
506.0,0.21365
507.0,0.21237
508.0,0.21039
509.0,0.20804
510.0,0.20662
511.0,0.20533
512.0,0.20599
513.0,0.20420
514.0,0.20402
515.0,0.20330
516.0,0.20353
517.0,0.20266
518.0,0.20268
519.0,0.20220
520.0,0.20130
521.0,0.20169
522.0,0.20118
523.0,0.19970
524.0,0.19969
525.0,0.19923
526.0,0.19769
527.0,0.19608
528.0,0.19219
529.0,0.19106
530.0,0.18899
531.0,0.18531
532.0,0.18213
533.0,0.17878
534.0,0.17522
535.0,0.17136
536.0,0.16749
537.0,0.16343
538.0,0.16002
539.0,0.15588
540.0,0.15287
541.0,0.14901
542.0,0.14471
543.0,0.14244
544.0,0.13854
545.0,0.13476
546.0,0.13228
547.0,0.12886
548.0,0.12603
549.0,0.12491
550.0,0.12162
551.0,0.11972
552.0,0.11744
553.0,0.11582
554.0,0.11410
555.0,0.11479
556.0,0.11374
557.0,0.11265
558.0,0.11047
559.0,0.10955
560.0,0.11009
561.0,0.10941
562.0,0.10787
563.0,0.10597
564.0,0.10606
565.0,0.10555
566.0,0.10543
567.0,0.10550
568.0,0.10479
569.0,0.10532
570.0,0.10537
571.0,0.10555
572.0,0.10634
573.0,0.10630
574.0,0.10615
575.0,0.10771
576.0,0.10891
577.0,0.11022
578.0,0.11095
579.0,0.11115
580.0,0.11250
581.0,0.11402
582.0,0.11522
583.0,0.11721
584.0,0.11792
585.0,0.12006
586.0,0.12232
587.0,0.12566
588.0,0.12583
589.0,0.13085
590.0,0.13332
591.0,0.13605
592.0,0.14006
593.0,0.14332
594.0,0.14910
595.0,0.15352
596.0,0.15993
597.0,0.16483
598.0,0.16993
599.0,0.17621
600.0,0.17985
601.0,0.18390
602.0,0.18736
603.0,0.18916
604.0,0.18959
605.0,0.18840
606.0,0.18511
607.0,0.18205
608.0,0.17633
609.0,0.17044
610.0,0.16420
611.0,0.15674
612.0,0.14850
613.0,0.14213
614.0,0.13456
615.0,0.12781
616.0,0.12298
617.0,0.11735
618.0,0.11255
619.0,0.10805
620.0,0.10408
621.0,0.10042
622.0,0.09856
623.0,0.09508
624.0,0.09304
625.0,0.09033
626.0,0.08970
627.0,0.08638
628.0,0.08528
629.0,0.08432
630.0,0.08138
631.0,0.08152
632.0,0.07914
633.0,0.07748
634.0,0.07814
635.0,0.07785
636.0,0.07512
637.0,0.07457
638.0,0.07413
639.0,0.07305
640.0,0.07215
641.0,0.07235
642.0,0.07144
643.0,0.07194
644.0,0.07160
645.0,0.07031
646.0,0.07046
647.0,0.07084
648.0,0.06984
649.0,0.06776
650.0,0.06862
651.0,0.06786
652.0,0.06766
653.0,0.06726
654.0,0.06641
655.0,0.06737
656.0,0.06616
657.0,0.06620
658.0,0.06648
659.0,0.06550
660.0,0.06645
661.0,0.06616
662.0,0.06523
663.0,0.06604
664.0,0.06588
665.0,0.06649
666.0,0.06670
667.0,0.06658
668.0,0.06778
669.0,0.06734
670.0,0.06658
671.0,0.06656
672.0,0.06669
673.0,0.06769
674.0,0.06691
675.0,0.06795
676.0,0.06718
677.0,0.06767
678.0,0.06760
679.0,0.06815
680.0,0.07057
681.0,0.07153
682.0,0.07014
683.0,0.07037
684.0,0.07055
685.0,0.07026
686.0,0.07168
687.0,0.07063
688.0,0.07128
689.0,0.07296
690.0,0.07167
691.0,0.07229
692.0,0.07392
693.0,0.07275
694.0,0.07347
695.0,0.07402
696.0,0.07241
697.0,0.07357
698.0,0.07517
699.0,0.07340
700.0,0.07476
701.0,0.07366
702.0,0.07415
703.0,0.07422
704.0,0.07388
705.0,0.07612
706.0,0.07643
707.0,0.07632
708.0,0.07676
709.0,0.07745
710.0,0.07523
711.0,0.07636
712.0,0.07665
713.0,0.07779
714.0,0.07798
715.0,0.07712
716.0,0.07917
717.0,0.07717
718.0,0.07768
719.0,0.07792
720.0,0.07674
721.0,0.07901
722.0,0.07773
723.0,0.07834
724.0,0.07823
725.0,0.07747
726.0,0.07960
727.0,0.07916
728.0,0.07674
729.0,0.07679
730.0,0.07767
731.0,0.07724
732.0,0.07712
733.0,0.07695
734.0,0.07577
735.0,0.07603
736.0,0.07901
737.0,0.07626
738.0,0.07689
739.0,0.07676
740.0,0.07545
741.0,0.07735
742.0,0.07747
743.0,0.07565
744.0,0.07544
745.0,0.07495
746.0,0.07488
